Tick;Step;Extent;Gender;maxHeight;MemberId;minHeight;PercentageTiles;ResultFilePath;TreeCount;XSpawn;xWidth;yLength;YSpawn;X;Y;ID
142;142;0;;50;0;0;0.1;;7;0;35;33;0;2;4;00000000-0000-0000-0000-000000000000
143;143;0;;50;0;0;0.1;;7;0;35;33;0;3;4;00000000-0000-0000-0000-000000000000
144;144;0;;50;0;0;0.1;;7;0;35;33;0;4;4;00000000-0000-0000-0000-000000000000
145;145;0;;50;0;0;0.1;;7;0;35;33;0;5;4;00000000-0000-0000-0000-000000000000
146;146;0;;50;0;0;0.1;;7;0;35;33;0;6;4;00000000-0000-0000-0000-000000000000
147;147;0;;50;0;0;0.1;;7;0;35;33;0;7;4;00000000-0000-0000-0000-000000000000
148;148;0;;50;0;0;0.1;;7;0;35;33;0;8;4;00000000-0000-0000-0000-000000000000
149;149;0;;50;0;0;0.1;;7;0;35;33;0;9;4;00000000-0000-0000-0000-000000000000
150;150;0;;50;0;0;0.1;;7;0;35;33;0;10;4;00000000-0000-0000-0000-000000000000
151;151;0;;50;0;0;0.1;;7;0;35;33;0;11;4;00000000-0000-0000-0000-000000000000
152;152;0;;50;0;0;0.1;;7;0;35;33;0;12;4;00000000-0000-0000-0000-000000000000
153;153;0;;50;0;0;0.1;;7;0;35;33;0;13;4;00000000-0000-0000-0000-000000000000
154;154;0;;50;0;0;0.1;;7;0;35;33;0;14;4;00000000-0000-0000-0000-000000000000
155;155;0;;50;0;0;0.1;;7;0;35;33;0;15;4;00000000-0000-0000-0000-000000000000
156;156;0;;50;0;0;0.1;;7;0;35;33;0;16;4;00000000-0000-0000-0000-000000000000
157;157;0;;50;0;0;0.1;;7;0;35;33;0;17;4;00000000-0000-0000-0000-000000000000
158;158;0;;50;0;0;0.1;;7;0;35;33;0;18;4;00000000-0000-0000-0000-000000000000
159;159;0;;50;0;0;0.1;;7;0;35;33;0;19;4;00000000-0000-0000-0000-000000000000
160;160;0;;50;0;0;0.1;;7;0;35;33;0;20;4;00000000-0000-0000-0000-000000000000
161;161;0;;50;0;0;0.1;;7;0;35;33;0;21;4;00000000-0000-0000-0000-000000000000
162;162;0;;50;0;0;0.1;;7;0;35;33;0;22;4;00000000-0000-0000-0000-000000000000
163;163;0;;50;0;0;0.1;;7;0;35;33;0;23;4;00000000-0000-0000-0000-000000000000
164;164;0;;50;0;0;0.1;;7;0;35;33;0;24;4;00000000-0000-0000-0000-000000000000
165;165;0;;50;0;0;0.1;;7;0;35;33;0;25;4;00000000-0000-0000-0000-000000000000
166;166;0;;50;0;0;0.1;;7;0;35;33;0;26;4;00000000-0000-0000-0000-000000000000
167;167;0;;50;0;0;0.1;;7;0;35;33;0;27;4;00000000-0000-0000-0000-000000000000
168;168;0;;50;0;0;0.1;;7;0;35;33;0;28;4;00000000-0000-0000-0000-000000000000
169;169;0;;50;0;0;0.1;;7;0;35;33;0;29;4;00000000-0000-0000-0000-000000000000
170;170;0;;50;0;0;0.1;;7;0;35;33;0;30;4;00000000-0000-0000-0000-000000000000
